epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1121.35,1.61024,3.31083,1.68146,0.30987,0.36938,0.33749,0.20591,1.70148,3.19085,2.0135,0.00333205,0.00333205,0.00333205
2,2211.48,1.60711,2.4347,1.6897,0.38307,0.31969,0.33714,0.18997,1.75916,3.10355,1.98226,0.0065994,0.0065994,0.0065994
3,3301.49,1.66779,2.39306,1.72961,0.31487,0.34795,0.30742,0.17578,1.78779,2.80023,1.9904,0.00980074,0.00980074,0.00980074
4,4424.51,1.69947,2.20841,1.75521,0.37731,0.35134,0.33633,0.18901,1.74017,2.23215,1.93543,0.009703,0.009703,0.009703
5,5685.71,1.62383,1.94885,1.68967,0.36474,0.44952,0.39777,0.23734,1.60356,1.92979,1.82432,0.009604,0.009604,0.009604
6,6854.16,1.57426,1.81129,1.65362,0.42466,0.45833,0.42833,0.25623,1.61791,1.78277,1.76875,0.009505,0.009505,0.009505
7,7959.76,1.54725,1.7185,1.62413,0.3947,0.45463,0.43163,0.26502,1.53007,1.73059,1.72605,0.009406,0.009406,0.009406
8,9096.98,1.5114,1.66912,1.60345,0.45505,0.47431,0.44771,0.27824,1.51206,1.66671,1.71648,0.009307,0.009307,0.009307
9,10186.5,1.49239,1.61656,1.5864,0.46473,0.47878,0.45071,0.28315,1.5121,1.64419,1.69835,0.009208,0.009208,0.009208
10,11300.2,1.47535,1.58531,1.57125,0.46116,0.49184,0.46192,0.28715,1.50157,1.61681,1.6902,0.009109,0.009109,0.009109
11,12377.2,1.45969,1.54536,1.55557,0.49999,0.49932,0.49128,0.30866,1.46386,1.5563,1.68017,0.00901,0.00901,0.00901
12,13452.9,1.43285,1.50494,1.5337,0.49703,0.53304,0.50667,0.31727,1.45209,1.50501,1.62056,0.008911,0.008911,0.008911
13,14528.1,1.4282,1.50575,1.52996,0.50628,0.5174,0.50193,0.31758,1.44129,1.50272,1.63626,0.008812,0.008812,0.008812
14,21868.4,1.4168,1.47605,1.52109,0.50263,0.51617,0.4963,0.31705,1.42934,1.47851,1.62242,0.008713,0.008713,0.008713
15,22944.4,1.4073,1.45209,1.50963,0.50583,0.52865,0.50448,0.32732,1.41518,1.46999,1.60529,0.008614,0.008614,0.008614
16,24019.6,1.39993,1.43644,1.4993,0.51327,0.5272,0.51544,0.33425,1.40267,1.42068,1.58258,0.008515,0.008515,0.008515
17,25107.1,1.39039,1.41928,1.4936,0.52933,0.53967,0.52604,0.3398,1.39228,1.41249,1.58482,0.008416,0.008416,0.008416
18,26414.9,1.38295,1.40449,1.49421,0.54555,0.5376,0.52178,0.33939,1.38375,1.40197,1.57134,0.008317,0.008317,0.008317
19,27722.2,1.36546,1.37478,1.48225,0.5408,0.54164,0.52718,0.34294,1.37622,1.39586,1.57265,0.008218,0.008218,0.008218
20,29029.3,1.36312,1.36981,1.47179,0.53892,0.53997,0.52844,0.34592,1.36894,1.3783,1.56462,0.008119,0.008119,0.008119
21,30337,1.36599,1.37105,1.47394,0.54563,0.55489,0.53478,0.35115,1.36091,1.36947,1.55744,0.00802,0.00802,0.00802
22,31644.7,1.34695,1.34408,1.464,0.55126,0.55167,0.5346,0.35235,1.35496,1.35726,1.55513,0.007921,0.007921,0.007921
23,32952.7,1.33816,1.32714,1.45748,0.56047,0.5528,0.54198,0.35864,1.34321,1.33796,1.54031,0.007822,0.007822,0.007822
24,34261.3,1.33771,1.32415,1.45067,0.56407,0.54978,0.5424,0.35969,1.34081,1.33455,1.5307,0.007723,0.007723,0.007723
25,35569.5,1.33307,1.31237,1.44749,0.56999,0.55673,0.54522,0.36086,1.34114,1.33432,1.52726,0.007624,0.007624,0.007624
26,36875.8,1.32242,1.3017,1.44142,0.56115,0.55925,0.54227,0.36022,1.3348,1.33236,1.52784,0.007525,0.007525,0.007525
27,38182.6,1.31238,1.2901,1.43821,0.56689,0.56011,0.54559,0.36385,1.33776,1.32817,1.52726,0.007426,0.007426,0.007426
28,39490.7,1.31818,1.29387,1.43783,0.57173,0.56179,0.5487,0.36603,1.33025,1.31477,1.5148,0.007327,0.007327,0.007327
29,40796.9,1.3104,1.27797,1.43083,0.57838,0.56702,0.55452,0.36934,1.32538,1.29859,1.51091,0.007228,0.007228,0.007228
30,42104.3,1.30356,1.27305,1.42646,0.5733,0.56726,0.55341,0.37082,1.31664,1.29024,1.50252,0.007129,0.007129,0.007129
31,43429.7,1.30373,1.26237,1.4246,0.58219,0.56775,0.55191,0.3706,1.31615,1.29475,1.50386,0.00703,0.00703,0.00703
32,44801.3,1.29165,1.25089,1.4143,0.5925,0.56758,0.5578,0.37322,1.3162,1.28375,1.50076,0.006931,0.006931,0.006931
33,46109.4,1.29088,1.24316,1.41382,0.58902,0.56848,0.55909,0.3749,1.31117,1.28533,1.4994,0.006832,0.006832,0.006832
34,47416.7,1.28866,1.2311,1.40808,0.58563,0.57543,0.55971,0.37723,1.30694,1.27609,1.49275,0.006733,0.006733,0.006733
35,48724.1,1.28248,1.23418,1.40884,0.58732,0.572,0.56099,0.37909,1.29982,1.27107,1.48683,0.006634,0.006634,0.006634
36,50030.5,1.27836,1.21965,1.40465,0.59038,0.57508,0.5638,0.38121,1.29523,1.26316,1.48177,0.006535,0.006535,0.006535
37,51335.9,1.27243,1.20792,1.39495,0.58674,0.57848,0.56345,0.38101,1.29738,1.25446,1.48234,0.006436,0.006436,0.006436
38,52644.3,1.26562,1.20254,1.39242,0.58706,0.57928,0.56558,0.38191,1.29555,1.24887,1.47622,0.006337,0.006337,0.006337
39,53953.2,1.26127,1.1929,1.38872,0.59429,0.57845,0.56711,0.38295,1.29523,1.24581,1.4722,0.006238,0.006238,0.006238
40,55060.6,1.25834,1.19523,1.3871,0.59388,0.57825,0.56862,0.38427,1.29566,1.24442,1.47301,0.006139,0.006139,0.006139
41,56192.2,1.25976,1.19343,1.38592,0.59163,0.58127,0.56794,0.38337,1.29473,1.24638,1.47225,0.00604,0.00604,0.00604
42,57316.2,1.25156,1.17102,1.38189,0.59402,0.58138,0.56899,0.38398,1.29132,1.24405,1.47032,0.005941,0.005941,0.005941
43,58435.9,1.24782,1.17592,1.37836,0.59548,0.58421,0.56959,0.38478,1.28811,1.24084,1.4672,0.005842,0.005842,0.005842
44,59559.3,1.24976,1.16954,1.37845,0.59606,0.58408,0.5706,0.38572,1.28624,1.23671,1.46527,0.005743,0.005743,0.005743
45,60674.5,1.23514,1.15269,1.36802,0.59706,0.58284,0.57055,0.38624,1.28329,1.23489,1.46337,0.005644,0.005644,0.005644
46,61807.7,1.2402,1.15758,1.36716,0.59832,0.58263,0.57093,0.38732,1.28183,1.23084,1.46185,0.005545,0.005545,0.005545
47,62915.2,1.23759,1.15226,1.3669,0.60134,0.58254,0.57172,0.38803,1.2803,1.22882,1.4599,0.005446,0.005446,0.005446
48,63991.3,1.22994,1.14031,1.36351,0.60243,0.58119,0.57223,0.38869,1.27936,1.22708,1.4587,0.005347,0.005347,0.005347
49,65183.6,1.22507,1.1305,1.35585,0.60373,0.5815,0.57358,0.38907,1.27761,1.22549,1.45633,0.005248,0.005248,0.005248
50,66455.5,1.22277,1.13042,1.35983,0.60367,0.58324,0.57471,0.38989,1.27666,1.2241,1.45538,0.005149,0.005149,0.005149
51,67666.9,1.21961,1.1257,1.35416,0.60572,0.58252,0.57506,0.39048,1.27601,1.22329,1.45471,0.00505,0.00505,0.00505
52,1168.43,1.20645,1.10596,1.34554,0.60564,0.58386,0.57571,0.39077,1.27594,1.22209,1.45443,0.004951,0.004951,0.004951
53,2317.11,1.2181,1.12479,1.35191,0.602,0.58412,0.57513,0.39065,1.27576,1.22045,1.45387,0.004852,0.004852,0.004852
54,3442.56,1.21461,1.11854,1.35328,0.6019,0.58507,0.57579,0.39149,1.2756,1.21932,1.45372,0.004753,0.004753,0.004753
55,1125.26,1.18787,1.08043,1.33313,0.60385,0.58518,0.57606,0.39167,1.27259,1.21605,1.45252,0.004654,0.004654,0.004654
56,1121.12,1.17992,1.07349,1.3288,0.60548,0.58614,0.57624,0.39222,1.27284,1.21496,1.45252,0.004555,0.004555,0.004555
